ID,k__Bacteria_0;p__;c__;o__;f__;g__;s__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacterium;s__acnes_0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium_0;s__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__adolescentis_0,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_0;s__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__ovatus_0,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__plebeius_0,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis_0,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella_0;s__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__copri_0,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__stercorea_0,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae_0;g__;s__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__putredinis_0,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7_0;g__;s__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae]_0;g__;s__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__Paraprevotella_0;s__,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae_0;g__;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales_0;f__;g__;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae_0;g__;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae_0;g__;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Butyrivibrio;s__crossotus_0,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__eutactus_0,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__faecis_0,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae_0;g__;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitzii_0,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Gemmiger;s__formicilis_0,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__bromii_0,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Dialister_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Phascolarctobacterium_0;s__,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae_0;g__;s__,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella_0;s__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae_0;g__;s__,k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales;f__Anaeroplasmataceae_0;g__;s__,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia;s__muciniphila_0
ERR2730148,-0.0859564798627336,-0.0295956780053368,0.591280550317074,-0.143585157190121,0.263002166361624,-0.0403207991742302,-0.0255486323123003,-0.118528269854391,-0.064043892430918,-0.0853448207707796,-0.0301309705525147,-0.112202659898644,1.29875568599914,-0.0422279812946749,-0.0569279196240839,-0.0227042606115277,-0.0999804294740895,0.380052570049132,-0.143690759437553,-0.0963311611754176,-0.0512622051992048,-0.0187710645860368,-0.105567334206257,-0.0755975951300614,1.55091328431352,-0.0585044144995539,-0.186161459745151,0.450617425996521,-0.145245010083005,0.857184962034069,-0.0815450899467633,-0.0209553172747682,-0.0734086380088541,-0.0736610152171026,-0.0270564000218089,-0.117346760701687,-0.0435457223285226,-0.0267532597416709,-0.126903169467937
ERR2730150,-0.0859564798627341,-0.0295956780053369,-0.18687070006657,-0.143585157190121,0.479210648625288,-0.0403207991742299,-0.0255486323123004,-0.118528269854391,-0.0640438924309182,-0.0853448207707794,-0.0301309705525152,-0.112202659898643,-0.023463608734783,-0.0422279812946752,-0.0569279196240837,-0.022704260611528,-0.0999804294740896,-0.296641039575735,-0.143690759437553,-0.0963311611754184,1.10508499566072,-0.0187710645860366,-0.105567334206257,-0.0755975951300607,-0.262000072329332,-0.0585044144995542,-0.18616145974515,0.206410347043375,-0.145245010083005,-0.0722339636802232,-0.0815450899467628,-0.020955317274768,-0.0734086380088541,-0.073661015217103,-0.0270564000218085,0.742991245869307,-0.0435457223285226,-0.0267532597416709,-0.126903169467938
ERR2730151,-0.0859564798627341,-0.0295956780053369,-0.18687070006657,-0.143585157190121,-0.186966842314424,-0.0403207991742299,-0.0255486323123004,-0.118528269854391,0.890198617008407,-0.0853448207707794,-0.0301309705525152,-0.112202659898643,-0.023463608734783,-0.0422279812946752,-0.0569279196240837,-0.022704260611528,-0.0999804294740896,-0.296641039575735,-0.143690759437553,-0.0963311611754184,0.833344376098725,-0.0187710645860366,-0.105567334206257,0.80900898616787,-0.262000072329332,-0.0585044144995542,0.255487476812293,0.115602933022173,-0.145245010083005,-0.0722339636802232,-0.0815450899467628,-0.020955317274768,-0.0734086380088541,-0.073661015217103,-0.0270564000218085,-0.117346760701687,-0.0435457223285226,-0.0267532597416709,-0.126903169467938
ERR2730152,-0.0859564798627341,-0.0295956780053369,-0.18687070006657,-0.143585157190121,-0.186966842314424,-0.0403207991742299,-0.0255486323123004,-0.118528269854391,-0.0640438924309182,-0.0853448207707794,-0.0301309705525152,-0.112202659898643,-0.023463608734783,-0.0422279812946752,-0.0569279196240837,-0.022704260611528,1.22223886525983,-0.296641039575735,-0.143690759437553,-0.0963311611754184,-0.0512622051992049,-0.0187710645860366,-0.105567334206257,-0.0755975951300607,-0.262000072329332,-0.0585044144995542,-0.18616145974515,-0.403922170250577,-0.145245010083005,-0.0722339636802232,-0.0815450899467628,-0.020955317274768,-0.0734086380088541,-0.073661015217103,-0.0270564000218085,-0.117346760701687,-0.0435457223285226,-0.0267532597416709,-0.126903169467938
ERR2730153,-0.0859564798627341,-0.0295956780053369,-0.18687070006657,-0.143585157190121,-0.186966842314424,-0.0403207991742299,-0.0255486323123004,-0.118528269854391,-0.0640438924309182,-0.0853448207707794,-0.0301309705525152,-0.112202659898643,-0.023463608734783,-0.0422279812946752,-0.0569279196240837,-0.022704260611528,-0.0999804294740896,0.433737429011908,-0.143690759437553,-0.0963311611754184,-0.0512622051992049,-0.0187710645860366,-0.105567334206257,-0.0755975951300607,-0.262000072329332,-0.0585044144995542,-0.18616145974515,-0.403922170250577,-0.145245010083005,-0.0722339636802232,-0.0815450899467628,-0.020955317274768,-0.0734086380088541,-0.073661015217103,-0.0270564000218085,-0.117346760701687,-0.0435457223285226,-0.0267532597416709,-0.126903169467938
ERR2730154,-0.0859564798627341,-0.0295956780053369,-0.18687070006657,-0.143585157190121,-0.186966842314424,-0.0403207991742299,-0.0255486323123004,-0.118528269854391,-0.0640438924309182,-0.0853448207707794,0.748020279831128,-0.112202659898643,-0.023463608734783,-0.0422279812946752,-0.0569279196240837,-0.022704260611528,-0.0999804294740896,0.940148059833558,-0.143690759437553,-0.0963311611754184,1.10508499566072,-0.0187710645860366,-0.105567334206257,-0.0755975951300607,-0.262000072329332,-0.0585044144995542,0.469880344049058,0.206410347043375,-0.145245010083005,-0.0722339636802232,-0.0815450899467628,-0.020955317274768,-0.0734086380088541,-0.073661015217103,-0.0270564000218085,-0.117346760701687,-0.0435457223285226,-0.0267532597416709,-0.126903169467938
ERR2730155,-0.0859564798627341,-0.0295956780053369,-0.18687070006657,-0.143585157190121,-0.186966842314424,-0.0403207991742299,-0.0255486323123004,-0.118528269854391,-0.0640438924309182,-0.0853448207707794,-0.0301309705525152,-0.112202659898643,-0.023463608734783,-0.0422279812946752,-0.0569279196240837,-0.022704260611528,-0.0999804294740896,-0.296641039575735,-0.143690759437553,-0.0963311611754184,-0.0512622051992049,-0.0187710645860366,-0.105567334206257,-0.0755975951300607,-0.262000072329332,-0.0585044144995542,0.522908871495194,0.345457337563042,-0.145245010083005,-0.0722339636802232,-0.0815450899467628,-0.020955317274768,-0.0734086380088541,-0.073661015217103,-0.0270564000218085,-0.117346760701687,-0.0435457223285226,-0.0267532597416709,-0.126903169467938
ERR2730156,-0.0859564798627341,-0.0295956780053369,-0.18687070006657,-0.143585157190121,-0.186966842314424,-0.0403207991742299,-0.0255486323123004,-0.118528269854391,-0.0640438924309182,-0.0853448207707794,-0.0301309705525152,-0.112202659898643,-0.023463608734783,-0.0422279812946752,-0.0569279196240837,-0.022704260611528,-0.0999804294740896,-0.296641039575735,-0.143690759437553,-0.0963311611754184,-0.0512622051992049,-0.0187710645860366,-0.105567334206257,-0.0755975951300607,-0.262000072329332,-0.0585044144995542,0.339264474549067,0.535212920926006,-0.145245010083005,-0.0722339636802232,-0.0815450899467628,-0.020955317274768,-0.0734086380088541,-0.073661015217103,-0.0270564000218085,-0.117346760701687,-0.0435457223285226,-0.0267532597416709,-0.126903169467938
ERR2730158,-0.0859564798627341,-0.0295956780053369,-0.18687070006657,-0.143585157190121,-0.186966842314424,-0.0403207991742299,-0.0255486323123004,-0.118528269854391,-0.0640438924309182,-0.0853448207707794,-0.0301309705525152,-0.112202659898643,-0.023463608734783,-0.0422279812946752,-0.0569279196240837,-0.022704260611528,-0.0999804294740896,-0.296641039575735,-0.143690759437553,-0.0963311611754184,-0.0512622051992049,-0.0187710645860366,-0.105567334206257,-0.0755975951300607,-0.262000072329332,-0.0585044144995542,0.57016135314282,1.00457871094891,-0.145245010083005,0.857184962034069,-0.0815450899467628,-0.020955317274768,-0.0734086380088541,-0.073661015217103,-0.0270564000218085,-0.117346760701687,-0.0435457223285226,-0.0267532597416709,-0.126903169467938
ERR2730160,-0.0859564798627341,-0.0295956780053369,-0.18687070006657,-0.143585157190121,-0.186966842314424,-0.0403207991742299,-0.0255486323123004,-0.118528269854391,-0.0640438924309182,-0.0853448207707794,-0.0301309705525152,-0.112202659898643,-0.023463608734783,0.735923269088968,-0.0569279196240837,-0.022704260611528,-0.0999804294740896,-0.296641039575735,-0.143690759437553,0.788275420122512,-0.0512622051992049,-0.0187710645860366,-0.105567334206257,-0.0755975951300607,-0.262000072329332,-0.0585044144995542,0.151591342943571,-0.403922170250577,-0.145245010083005,-0.0722339636802232,-0.0815450899467628,-0.020955317274768,-0.0734086380088541,-0.073661015217103,-0.0270564000218085,-0.117346760701687,-0.0435457223285226,-0.0267532597416709,-0.126903169467938
