,scc,p
k__Archaea;p__Thaumarchaeota;c__Thaumarchaeota_unclassified;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus_SGB14899_0,869.5,0.00880202935954568
k__Archaea;p__Thaumarchaeota;c__Thaumarchaeota_unclassified;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Nitrosopumilus_0,869.5,0.00880202935954568
k__Archaea;p__Thaumarchaeota;c__Thaumarchaeota_unclassified;o__Nitrosopumilales;f__Nitrosopumilaceae_0,869.5,0.00880202935954568
k__Archaea;p__Thaumarchaeota;c__Thaumarchaeota_unclassified;o__Nitrosopumilales_0,869.5,0.00880202935954568
k__Archaea;p__Thaumarchaeota;c__Thaumarchaeota_unclassified_0,869.5,0.00880202935954568
k__Archaea;p__Thaumarchaeota_0,869.5,0.00880202935954568
k__Archaea_0,1265.5,0.0003098555009818268
k__Bacteria;p__Actinobacteria_0,836.5,0.03772312948782807
k__Bacteria;p__Bacteroidetes_0,1573.5,3.4508765723824465e-05
k__Bacteria;p__Firmicutes;c__CFGB1211;o__OFGB1211;f__FGB1211;g__GGB2970;s__GGB2970_SGB3952_0,1364.0,1.867065495652283e-05
k__Bacteria;p__Firmicutes;c__CFGB1211;o__OFGB1211;f__FGB1211;g__GGB2970_0,1364.0,1.867065495652283e-05
k__Bacteria;p__Firmicutes;c__CFGB1211;o__OFGB1211;f__FGB1211_0,1364.0,1.867065495652283e-05
k__Bacteria;p__Firmicutes;c__CFGB1211;o__OFGB1211_0,1364.0,1.867065495652283e-05
k__Bacteria;p__Firmicutes;c__CFGB1211_0,1364.0,0.00020122817008696826
k__Bacteria;p__Firmicutes;c__CFGB1227;o__OFGB1227;f__FGB1227;g__GGB3001;s__GGB3001_SGB3992_0,706.5,0.0002977220875121346
k__Bacteria;p__Firmicutes;c__CFGB1227;o__OFGB1227;f__FGB1227;g__GGB3001_0,706.5,0.0002977220875121346
k__Bacteria;p__Firmicutes;c__CFGB1227;o__OFGB1227;f__FGB1227_0,1069.5,0.0013922701327548006
k__Bacteria;p__Firmicutes;c__CFGB1227;o__OFGB1227_0,1069.5,0.0013922701327548006
k__Bacteria;p__Firmicutes;c__CFGB1227_0,1069.5,0.006752510143860783
k__Bacteria;p__Firmicutes;c__CFGB1292;o__OFGB1292;f__FGB1292;g__GGB3109;s__GGB3109_SGB4643_0,886.5,0.004210017997440879
k__Bacteria;p__Firmicutes;c__CFGB1292;o__OFGB1292;f__FGB1292;g__GGB3109_0,1299.5,8.343337090518914e-05
k__Bacteria;p__Firmicutes;c__CFGB1292;o__OFGB1292;f__FGB1292_0,1299.5,8.343337090518914e-05
k__Bacteria;p__Firmicutes;c__CFGB1292;o__OFGB1292_0,1299.5,8.343337090518914e-05
k__Bacteria;p__Firmicutes;c__CFGB1292_0,1299.5,0.0007357306343457588
k__Bacteria;p__Firmicutes;c__CFGB1320;o__OFGB1320;f__FGB1320_0,364.5,0.016223173686791714
k__Bacteria;p__Firmicutes;c__CFGB1320;o__OFGB1320_0,364.5,0.016223173686791714
k__Bacteria;p__Firmicutes;c__CFGB1320_0,364.5,0.04003501440060482
k__Bacteria;p__Firmicutes;c__CFGB1354;o__OFGB1354;f__FGB1354;g__GGB3304;s__GGB3304_SGB4367_0,-826.5,0.007795380944624736
k__Bacteria;p__Firmicutes;c__CFGB1670;o__OFGB1670;f__FGB1670_0,794.5,0.0075770700071242335
k__Bacteria;p__Firmicutes;c__CFGB1670;o__OFGB1670_0,794.5,0.0075770700071242335
k__Bacteria;p__Firmicutes;c__CFGB1670_0,794.5,0.022239763283194103
k__Bacteria;p__Firmicutes;c__CFGB1798;o__OFGB1798;f__FGB1798;g__GGB4768;s__GGB4768_SGB6601_0,649.5,0.0017073077694894257
k__Bacteria;p__Firmicutes;c__CFGB1798;o__OFGB1798;f__FGB1798;g__GGB4768_0,649.5,0.0034146155389788513
k__Bacteria;p__Firmicutes;c__CFGB1798;o__OFGB1798;f__FGB1798;g__GGB4769_0,626.0,0.009766340617717102
k__Bacteria;p__Firmicutes;c__CFGB1798;o__OFGB1798;f__FGB1798_0,1102.5,6.061788315615331e-05
k__Bacteria;p__Firmicutes;c__CFGB1798;o__OFGB1798_0,1102.5,6.061788315615331e-05
k__Bacteria;p__Firmicutes;c__CFGB1798_0,1102.5,0.0005879934666146872
k__Bacteria;p__Firmicutes;c__CFGB1838;o__OFGB1838_0,-578.0,0.004400782179308774
k__Bacteria;p__Firmicutes;c__CFGB1838_0,-578.0,0.014719857634239693
k__Bacteria;p__Firmicutes;c__CFGB2881;o__OFGB2881_0,1574.5,2.18104847734015e-06
k__Bacteria;p__Firmicutes;c__CFGB2881_0,1574.5,5.289042557549864e-05
k__Bacteria;p__Firmicutes;c__CFGB2950;o__OFGB2950;f__FGB2950;g__GGB9291;s__GGB9291_SGB14248_0,777.5,0.006267063970641615
k__Bacteria;p__Firmicutes;c__CFGB2950;o__OFGB2950;f__FGB2950;g__GGB9291_0,777.5,0.006267063970641615
k__Bacteria;p__Firmicutes;c__CFGB2950;o__OFGB2950;f__FGB2950_0,777.5,0.006267063970641615
k__Bacteria;p__Firmicutes;c__CFGB2950;o__OFGB2950_0,777.5,0.006267063970641615
k__Bacteria;p__Firmicutes;c__CFGB2950_0,777.5,0.019609845327491507
k__Bacteria;p__Firmicutes;c__CFGB2982;o__OFGB2982;f__FGB2982;g__GGB9342;s__GGB9342_SGB14306_0,1206.5,0.0005025056045575975
k__Bacteria;p__Firmicutes;c__CFGB2982;o__OFGB2982;f__FGB2982;g__GGB9342_0,1206.5,0.0005025056045575975
k__Bacteria;p__Firmicutes;c__CFGB2982;o__OFGB2982;f__FGB2982_0,1206.5,0.0005025056045575975
k__Bacteria;p__Firmicutes;c__CFGB2982;o__OFGB2982_0,1206.5,0.0005025056045575975
k__Bacteria;p__Firmicutes;c__CFGB2982_0,1206.5,0.003021284142406125
k__Bacteria;p__Firmicutes;c__CFGB2983;o__OFGB2983;f__FGB2983;g__GGB9343;s__GGB9343_SGB14307_0,424.5,0.0035338668551563733
k__Bacteria;p__Firmicutes;c__CFGB2983;o__OFGB2983;f__FGB2983;g__GGB9343_0,424.5,0.0035338668551563733
k__Bacteria;p__Firmicutes;c__CFGB2983;o__OFGB2983;f__FGB2983_0,424.5,0.0035338668551563733
k__Bacteria;p__Firmicutes;c__CFGB2983;o__OFGB2983_0,424.5,0.0035338668551563733
k__Bacteria;p__Firmicutes;c__CFGB2983_0,424.5,0.012959293195559466
k__Bacteria;p__Firmicutes;c__CFGB2985;o__OFGB2985;f__FGB2985;g__GGB9348;s__GGB9348_SGB14315_0,800.5,0.00029271709411514966
k__Bacteria;p__Firmicutes;c__CFGB2985;o__OFGB2985;f__FGB2985;g__GGB9348_0,800.5,0.00029271709411514966
k__Bacteria;p__Firmicutes;c__CFGB2985;o__OFGB2985;f__FGB2985_0,1826.5,1.4069841607711471e-09
k__Bacteria;p__Firmicutes;c__CFGB2985;o__OFGB2985_0,1826.5,1.4069841607711471e-09
k__Bacteria;p__Firmicutes;c__CFGB2985_0,1826.5,1.3647746359480128e-07
k__Bacteria;p__Firmicutes;c__CFGB3012;o__OFGB3012;f__FGB3012;g__GGB9480;s__GGB9480_SGB14874_0,-433.5,0.009716949152444218
k__Bacteria;p__Firmicutes;c__CFGB3012;o__OFGB3012;f__FGB3012;g__GGB9480_0,-433.5,0.009716949152444218
k__Bacteria;p__Firmicutes;c__CFGB3012;o__OFGB3012;f__FGB3012_0,-433.5,0.009716949152444218
k__Bacteria;p__Firmicutes;c__CFGB3012;o__OFGB3012_0,-433.5,0.009716949152444218
k__Bacteria;p__Firmicutes;c__CFGB3012_0,-433.5,0.026181779660752476
k__Bacteria;p__Firmicutes;c__CFGB38642;o__OFGB38642;f__FGB38642;g__GGB9765;s__GGB9765_SGB15382_0,1397.0,3.5069387366035345e-05
k__Bacteria;p__Firmicutes;c__CFGB38642;o__OFGB38642;f__FGB38642;g__GGB9765_0,1397.0,0.00010520816209810604
k__Bacteria;p__Firmicutes;c__CFGB38642;o__OFGB38642;f__FGB38642_0,1219.0,0.0005295034064010735
k__Bacteria;p__Firmicutes;c__CFGB38642;o__OFGB38642_0,1219.0,0.0005295034064010735
k__Bacteria;p__Firmicutes;c__CFGB38642_0,1219.0,0.003021284142406125
k__Bacteria;p__Firmicutes;c__CFGB75985;o__OFGB75985;f__FGB75985;g__GGB9523;s__GGB9523_SGB14922_0,645.0,0.003053649192911168
k__Bacteria;p__Firmicutes;c__CFGB75985;o__OFGB75985;f__FGB75985;g__GGB9523_0,645.0,0.003053649192911168
k__Bacteria;p__Firmicutes;c__CFGB75985;o__OFGB75985;f__FGB75985_0,645.0,0.003053649192911168
k__Bacteria;p__Firmicutes;c__CFGB75985;o__OFGB75985_0,645.0,0.003053649192911168
k__Bacteria;p__Firmicutes;c__CFGB75985_0,645.0,0.012959293195559466
k__Bacteria;p__Firmicutes;c__CFGB76352;o__OFGB76352_0,705.0,0.0036072259410320166
k__Bacteria;p__Firmicutes;c__CFGB76352_0,705.0,0.012959293195559466
k__Bacteria;p__Firmicutes;c__CFGB76370;o__OFGB76370;f__FGB76370;g__GGB9092;s__GGB9092_SGB14022_0,901.5,0.0003593391165447708
k__Bacteria;p__Firmicutes;c__CFGB76370;o__OFGB76370;f__FGB76370;g__GGB9092_0,901.5,0.0003593391165447708
k__Bacteria;p__Firmicutes;c__CFGB76533;o__OFGB76533;f__FGB76533;g__GGB9109;s__GGB9109_SGB14042_0,1268.5,8.123293935255274e-06
